phrase,intensity,polarity,able_signals,geo_sa,neg_high_hits,neg_med_hits
self mastery Randburg,0.0,agency,1,True,0,0
stop overreacting Randburg,1.5,constructive_pain,1,True,0,1
high performer stress Randburg,1.5,constructive_pain,1,True,0,1
mental exhaustion Randburg,1.5,distress,0,True,0,1
stress recovery Randburg,1.5,constructive_pain,1,True,0,1
professional burnout Randburg,1.5,distress,0,True,0,1
executive burnout Cape Town,1.5,constructive_pain,1,True,0,1
burnout recovery Cape Town,1.5,constructive_pain,1,True,0,1
work stress Cape Town,1.5,distress,0,True,0,1
emotional resilience Cape Town,0.0,agency,1,True,0,0
self mastery Cape Town,0.0,agency,1,True,0,0
stop overreacting Cape Town,1.5,constructive_pain,1,True,0,1
high performer stress Cape Town,1.5,constructive_pain,1,True,0,1
mental exhaustion Cape Town,1.5,distress,0,True,0,1
stress recovery Cape Town,1.5,constructive_pain,1,True,0,1
professional burnout Cape Town,1.5,distress,0,True,0,1
executive burnout CT,1.5,constructive_pain,1,False,0,1
burnout recovery CT,1.5,constructive_pain,1,False,0,1
work stress CT,1.5,distress,0,False,0,1
emotional resilience CT,0.0,agency,1,False,0,0
self mastery CT,0.0,agency,1,False,0,0
stop overreacting CT,1.5,constructive_pain,1,False,0,1
high performer stress CT,1.5,constructive_pain,1,False,0,1
mental exhaustion CT,1.5,distress,0,False,0,1
stress recovery CT,1.5,constructive_pain,1,False,0,1
professional burnout CT,1.5,distress,0,False,0,1
executive burnout Durban,1.5,constructive_pain,1,True,0,1
burnout recovery Durban,1.5,constructive_pain,1,True,0,1
work stress Durban,1.5,distress,0,True,0,1
emotional resilience Durban,0.0,agency,1,True,0,0
self mastery Durban,0.0,agency,1,True,0,0
stop overreacting Durban,1.5,constructive_pain,1,True,0,1
high performer stress Durban,1.5,constructive_pain,1,True,0,1
mental exhaustion Durban,1.5,distress,0,True,0,1
stress recovery Durban,1.5,constructive_pain,1,True,0,1
professional burnout Durban,1.5,distress,0,True,0,1
executive burnout Gqeberha,1.5,constructive_pain,1,True,0,1
burnout recovery Gqeberha,1.5,constructive_pain,1,True,0,1
work stress Gqeberha,1.5,distress,0,True,0,1
emotional resilience Gqeberha,0.0,agency,1,True,0,0
self mastery Gqeberha,0.0,agency,1,True,0,0
stop overreacting Gqeberha,1.5,constructive_pain,1,True,0,1
high performer stress Gqeberha,1.5,constructive_pain,1,True,0,1
mental exhaustion Gqeberha,1.5,distress,0,True,0,1
stress recovery Gqeberha,1.5,constructive_pain,1,True,0,1
professional burnout Gqeberha,1.5,distress,0,True,0,1
executive burnout Port Elizabeth,1.5,constructive_pain,1,False,0,1
burnout recovery Port Elizabeth,1.5,constructive_pain,1,False,0,1
work stress Port Elizabeth,1.5,distress,0,False,0,1
emotional resilience Port Elizabeth,0.0,agency,1,False,0,0
self mastery Port Elizabeth,0.0,agency,1,False,0,0
stop overreacting Port Elizabeth,1.5,constructive_pain,1,False,0,1
high performer stress Port Elizabeth,1.5,constructive_pain,1,False,0,1
mental exhaustion Port Elizabeth,1.5,distress,0,False,0,1
stress recovery Port Elizabeth,1.5,constructive_pain,1,False,0,1
professional burnout Port Elizabeth,1.5,distress,0,False,0,1
executive burnout PE,1.5,constructive_pain,1,False,0,1
burnout recovery PE,1.5,constructive_pain,1,False,0,1
work stress PE,1.5,distress,0,False,0,1
emotional resilience PE,0.0,agency,1,False,0,0
self mastery PE,0.0,agency,1,False,0,0
stop overreacting PE,1.5,constructive_pain,1,False,0,1
high performer stress PE,1.5,constructive_pain,1,False,0,1
mental exhaustion PE,1.5,distress,0,False,0,1
stress recovery PE,1.5,constructive_pain,1,False,0,1
professional burnout PE,1.5,distress,0,False,0,1
self improvement for high performers,0.0,agency,1,False,0,0
tools for able people under stress,1.5,constructive_pain,2,False,0,1
personal development for professionals,0.0,neutral_info,0,False,0,0
capacity recovery for executives,0.0,agency,3,False,0,0
how able people handle burnout,1.5,constructive_pain,1,False,0,1
self mastery for leaders,0.0,agency,1,False,0,0
emotional control for high agency people,0.0,agency,1,False,0,0
performance under pressure self help,1.5,constructive_pain,1,False,0,1
clear headed under stress,1.5,distress,0,False,0,1
operate at full capacity again,0.0,agency,1,False,0,0
regain composure and clarity,0.0,agency,3,False,0,0
practical self help for capable adults,0.0,agency,3,False,0,0
I'm still showing up I just need capacity back,0.0,agency,1,False,0,0
I want a tool not only sympathy,0.0,neutral_info,0,False,0,0
I'm willing to confront what is running me,0.0,neutral_info,0,False,0,0
I fix problems for others now I need my own capacity,0.0,agency,1,False,0,0
"Subdomain / org naming: prefer geo + cluster head terms (e.g. self-mastery-sa, jhb-exec-resilience).",0.0,agency,2,False,0,0
Ranking page H1/title: pick 1 primary short query + 1 long human question.,0.0,neutral_info,0,False,0,0
FAQ blocks: convert question-form phrases into schema-ready Q&A.,0.0,neutral_info,0,False,0,0
Ads / social: use sentiment and forum-style lines.,0.0,neutral_info,0,False,0,0
Keyword research expert: feed cluster + able-filter + exclude clinical terms.,0.0,agency,1,False,0,0
"Never rank on diagnosis keywords (depression treatment, anxiety medication, PTSD cure, etc.).",1.5,distress,0,False,0,1
how to recover from burnout,1.5,constructive_pain,2,False,0,1
ways to recover from burnout,1.5,constructive_pain,1,False,0,1
how to fix burnout,1.5,constructive_pain,1,False,0,1
ways to fix burnout,1.5,distress,0,False,0,1
how to overcome burnout,1.5,constructive_pain,2,False,0,1
ways to overcome burnout,1.5,constructive_pain,1,False,0,1
how to manage burnout,1.5,constructive_pain,2,False,0,1
ways to manage burnout,1.5,constructive_pain,1,False,0,1
how to prevent burnout,1.5,constructive_pain,1,False,0,1
ways to prevent burnout,1.5,distress,0,False,0,1
how to spot signs of burnout,1.5,constructive_pain,1,False,0,1
ways to spot signs of burnout,1.5,distress,0,False,0,1
why burnout won't go away,4.5,distress,0,False,1,1
burnout that rest doesn't fix,1.5,distress,0,False,0,1
burnout self help book,1.5,constructive_pain,1,False,0,1
burnout for executives,1.5,constructive_pain,1,False,0,1
burnout for professionals South Africa,1.5,distress,0,True,0,1
burnout Sandton,1.5,distress,0,True,0,1
burnout Gauteng,1.5,distress,0,True,0,1
I can't recover from burnout,1.5,constructive_pain,1,False,0,1
how to mental exhaustion,1.5,constructive_pain,1,False,0,1
ways to mental exhaustion,1.5,distress,0,False,0,1
how to chronic exhaustion,1.5,constructive_pain,1,False,0,1
ways to chronic exhaustion,1.5,distress,0,False,0,1
how to work exhaustion,1.5,constructive_pain,1,False,0,1
ways to work exhaustion,1.5,distress,0,False,0,1
how to emotional exhaustion,1.5,constructive_pain,1,False,0,1
ways to emotional exhaustion,1.5,distress,0,False,0,1
how to high performer exhaustion,1.5,constructive_pain,2,False,0,1
ways to high performer exhaustion,1.5,constructive_pain,1,False,0,1
why exhaustion won't go away,4.5,distress,0,False,1,1
exhaustion that rest doesn't fix,1.5,distress,0,False,0,1
exhaustion self help book,1.5,constructive_pain,1,False,0,1
exhaustion for executives,1.5,constructive_pain,1,False,0,1
exhaustion for professionals South Africa,1.5,distress,0,True,0,1
exhaustion Sandton,1.5,distress,0,True,0,1
exhaustion Gauteng,1.5,distress,0,True,0,1
I can't exhaustion,1.5,distress,0,False,0,1
how to stop overreacting,1.5,constructive_pain,2,False,0,1
ways to stop overreacting,1.5,constructive_pain,1,False,0,1
how to control overreacting,1.5,constructive_pain,2,False,0,1
ways to control overreacting,1.5,constructive_pain,1,False,0,1
how to reduce overreacting,1.5,constructive_pain,1,False,0,1
ways to reduce overreacting,1.5,distress,0,False,0,1
how to understand overreacting,1.5,constructive_pain,1,False,0,1
ways to understand overreacting,1.5,distress,0,False,0,1
how to prevent overreacting,1.5,constructive_pain,1,False,0,1
ways to prevent overreacting,1.5,distress,0,False,0,1
why overreacting won't go away,4.5,distress,0,False,1,1
overreacting that rest doesn't fix,1.5,distress,0,False,0,1
overreacting self help book,1.5,constructive_pain,1,False,0,1
overreacting for executives,1.5,constructive_pain,1,False,0,1
overreacting for professionals South Africa,1.5,distress,0,True,0,1
overreacting Sandton,1.5,distress,0,True,0,1
overreacting Gauteng,1.5,distress,0,True,0,1
I can't stop overreacting,4.5,constructive_pain,1,False,1,1
how to manage emotional triggers,1.5,constructive_pain,2,False,0,1
ways to manage emotional triggers,1.5,constructive_pain,1,False,0,1
how to identify emotional triggers,1.5,constructive_pain,1,False,0,1
ways to identify emotional triggers,1.5,distress,0,False,0,1
how to defuse emotional triggers,1.5,constructive_pain,1,False,0,1
ways to defuse emotional triggers,1.5,distress,0,False,0,1
how to understand emotional triggers,1.5,constructive_pain,1,False,0,1
ways to understand emotional triggers,1.5,distress,0,False,0,1
how to release emotional triggers,1.5,constructive_pain,1,False,0,1
ways to release emotional triggers,1.5,distress,0,False,0,1
why emotional triggers won't go away,4.5,distress,0,False,1,1
emotional triggers that rest doesn't fix,1.5,distress,0,False,0,1
emotional triggers self help book,1.5,constructive_pain,1,False,0,1
emotional triggers for executives,1.5,constructive_pain,1,False,0,1
emotional triggers for professionals South Africa,1.5,distress,0,True,0,1
emotional triggers Sandton,1.5,distress,0,True,0,1
emotional triggers Gauteng,1.5,distress,0,True,0,1
I can't emotional triggers,1.5,distress,0,False,0,1
how to reduce irritability,0.0,agency,1,False,0,0
ways to reduce irritability,0.0,neutral_info,0,False,0,0
how to stop irritability,0.0,agency,2,False,0,0
ways to stop irritability,0.0,agency,1,False,0,0
how to manage irritability,0.0,agency,2,False,0,0
ways to manage irritability,0.0,agency,1,False,0,0
how to understand causes of irritability,0.0,agency,1,False,0,0
ways to understand causes of irritability,0.0,neutral_info,0,False,0,0
why irritability won't go away,3.0,distress,0,False,1,0
irritability that rest doesn't fix,0.0,neutral_info,0,False,0,0
irritability self help book,0.0,agency,1,False,0,0
irritability for executives,0.0,agency,1,False,0,0
irritability for professionals South Africa,0.0,neutral_info,0,True,0,0
irritability Sandton,0.0,neutral_info,0,True,0,0
irritability Gauteng,0.0,neutral_info,0,True,0,0
I can't irritability,0.0,neutral_info,0,False,0,0
how to stop overthinking,1.5,constructive_pain,2,False,0,1
ways to stop overthinking,1.5,constructive_pain,1,False,0,1
how to reduce overthinking,1.5,constructive_pain,1,False,0,1
ways to reduce overthinking,1.5,distress,0,False,0,1
how to quiet overthinking,1.5,constructive_pain,1,False,0,1
ways to quiet overthinking,1.5,distress,0,False,0,1
how to break the cycle of overthinking,1.5,constructive_pain,1,False,0,1
ways to break the cycle of overthinking,1.5,distress,0,False,0,1
why overthinking won't go away,4.5,distress,0,False,1,1
overthinking that rest doesn't fix,1.5,distress,0,False,0,1
overthinking self help book,1.5,constructive_pain,1,False,0,1
overthinking for executives,1.5,constructive_pain,1,False,0,1
overthinking for professionals South Africa,1.5,distress,0,True,0,1
overthinking Sandton,1.5,distress,0,True,0,1
overthinking Gauteng,1.5,distress,0,True,0,1
I can't overthinking,1.5,distress,0,False,0,1
how to stop rumination,1.5,constructive_pain,2,False,0,1
ways to stop rumination,1.5,constructive_pain,1,False,0,1
how to break rumination,1.5,constructive_pain,1,False,0,1
ways to break rumination,1.5,distress,0,False,0,1
how to escape rumination,1.5,constructive_pain,1,False,0,1
ways to escape rumination,1.5,distress,0,False,0,1
how to end rumination,1.5,constructive_pain,1,False,0,1
ways to end rumination,1.5,distress,0,False,0,1
why rumination won't go away,4.5,distress,0,False,1,1
rumination that rest doesn't fix,1.5,distress,0,False,0,1
rumination self help book,1.5,constructive_pain,1,False,0,1
rumination for executives,1.5,constructive_pain,1,False,0,1
rumination for professionals South Africa,1.5,distress,0,True,0,1
rumination Sandton,1.5,distress,0,True,0,1
rumination Gauteng,1.5,distress,0,True,0,1
I can't rumination,1.5,distress,0,False,0,1
how to stop self sabotage,1.5,constructive_pain,2,False,0,1
ways to stop self sabotage,1.5,constructive_pain,1,False,0,1
how to overcome self sabotage,1.5,constructive_pain,2,False,0,1
ways to overcome self sabotage,1.5,constructive_pain,1,False,0,1
how to break patterns of self sabotage,1.5,constructive_pain,1,False,0,1
ways to break patterns of self sabotage,1.5,distress,0,False,0,1
how to understand self sabotage,1.5,constructive_pain,1,False,0,1
ways to understand self sabotage,1.5,distress,0,False,0,1
why self sabotage won't go away,4.5,distress,0,False,1,1
self sabotage that rest doesn't fix,1.5,distress,0,False,0,1
self sabotage self help book,1.5,constructive_pain,1,False,0,1
self sabotage for executives,1.5,constructive_pain,1,False,0,1
self sabotage for professionals South Africa,1.5,distress,0,True,0,1
self sabotage Sandton,1.5,distress,0,True,0,1
self sabotage Gauteng,1.5,distress,0,True,0,1
I can't self sabotage,1.5,distress,0,False,0,1
how to recover from emotional numbness,3.0,constructive_pain,2,False,1,0
ways to recover from emotional numbness,3.0,constructive_pain,1,False,1,0
how to understand emotional numbness,3.0,constructive_pain,1,False,1,0
ways to understand emotional numbness,3.0,distress,0,False,1,0
how to break through emotional numbness,3.0,constructive_pain,1,False,1,0
ways to break through emotional numbness,3.0,distress,0,False,1,0
how to heal emotional numbness,3.0,constructive_pain,1,False,1,0
ways to heal emotional numbness,3.0,distress,0,False,1,0
why emotional numbness won't go away,6.0,high_distress,0,False,2,0
emotional numbness that rest doesn't fix,3.0,distress,0,False,1,0
emotional numbness self help book,3.0,constructive_pain,1,False,1,0
emotional numbness for executives,3.0,constructive_pain,1,False,1,0
emotional numbness for professionals South Africa,3.0,distress,0,True,1,0
emotional numbness Sandton,3.0,distress,0,True,1,0
emotional numbness Gauteng,3.0,distress,0,True,1,0
I can't emotional numbness,3.0,distress,0,False,1,0
how to despite success emptiness,0.0,agency,1,False,0,0
ways to despite success emptiness,0.0,neutral_info,0,False,0,0
how to after achievement emptiness,0.0,agency,1,False,0,0
ways to after achievement emptiness,0.0,neutral_info,0,False,0,0
how to career emptiness,0.0,agency,1,False,0,0
ways to career emptiness,0.0,neutral_info,0,False,0,0
how to inner emptiness,0.0,agency,1,False,0,0
ways to inner emptiness,0.0,neutral_info,0,False,0,0
why emptiness won't go away,3.0,distress,0,False,1,0
emptiness that rest doesn't fix,0.0,neutral_info,0,False,0,0
emptiness self help book,0.0,agency,1,False,0,0
emptiness for executives,0.0,agency,1,False,0,0
emptiness for professionals South Africa,0.0,neutral_info,0,True,0,0
emptiness Sandton,0.0,neutral_info,0,True,0,0
emptiness Gauteng,0.0,neutral_info,0,True,0,0
I can't emptiness,0.0,neutral_info,0,False,0,0
how to automatic stress reactions,1.5,constructive_pain,1,False,0,1
ways to automatic stress reactions,1.5,distress,0,False,0,1
how to unwanted stress reactions,1.5,constructive_pain,1,False,0,1
ways to unwanted stress reactions,1.5,distress,0,False,0,1
how to disproportionate stress reactions,1.5,constructive_pain,1,False,0,1
ways to disproportionate stress reactions,1.5,distress,0,False,0,1
how to stored stress reactions,1.5,constructive_pain,1,False,0,1
ways to stored stress reactions,1.5,distress,0,False,0,1
why stress reactions won't go away,4.5,distress,0,False,1,1
stress reactions that rest doesn't fix,1.5,distress,0,False,0,1
stress reactions self help book,1.5,constructive_pain,1,False,0,1
stress reactions for executives,1.5,constructive_pain,1,False,0,1
stress reactions for professionals South Africa,1.5,distress,0,True,0,1
stress reactions Sandton,1.5,distress,0,True,0,1
stress reactions Gauteng,1.5,distress,0,True,0,1
I can't stress reactions,1.5,distress,0,False,0,1
how to regain composure,0.0,agency,3,False,0,0
ways to regain composure,0.0,agency,2,False,0,0
how to keep under pressure composure,1.5,constructive_pain,2,False,0,1
ways to keep under pressure composure,1.5,constructive_pain,1,False,0,1
how to rebuild composure,0.0,agency,3,False,0,0
ways to rebuild composure,0.0,agency,2,False,0,0
how to maintain composure,0.0,agency,2,False,0,0
ways to maintain composure,0.0,agency,1,False,0,0
why composure won't go away,3.0,constructive_pain,1,False,1,0
composure that rest doesn't fix,0.0,agency,1,False,0,0
composure self help book,0.0,agency,2,False,0,0
composure for executives,0.0,agency,2,False,0,0
composure for professionals South Africa,0.0,agency,1,True,0,0
composure Sandton,0.0,agency,1,True,0,0
composure Gauteng,0.0,agency,1,True,0,0
I can't composure,0.0,agency,1,False,0,0
how to mental clarity,0.0,agency,2,False,0,0
ways to mental clarity,0.0,agency,1,False,0,0
how to under stress clarity,1.5,constructive_pain,2,False,0,1
ways to under stress clarity,1.5,constructive_pain,1,False,0,1
how to regain clarity,0.0,agency,3,False,0,0
ways to regain clarity,0.0,agency,2,False,0,0
how to executive clarity,0.0,agency,3,False,0,0
ways to executive clarity,0.0,agency,2,False,0,0
why clarity won't go away,3.0,constructive_pain,1,False,1,0
clarity that rest doesn't fix,0.0,agency,1,False,0,0
clarity self help book,0.0,agency,2,False,0,0
clarity for executives,0.0,agency,2,False,0,0
clarity for professionals South Africa,0.0,agency,1,True,0,0
clarity Sandton,0.0,agency,1,True,0,0
clarity Gauteng,0.0,agency,1,True,0,0
I can't clarity,0.0,agency,1,False,0,0
how to recover capacity,0.0,agency,3,False,0,0
ways to recover capacity,0.0,agency,2,False,0,0
how to rebuild capacity,0.0,agency,3,False,0,0
ways to rebuild capacity,0.0,agency,2,False,0,0
how to get back capacity,0.0,agency,2,False,0,0
ways to get back capacity,0.0,agency,1,False,0,0
how to operating capacity,0.0,agency,2,False,0,0
ways to operating capacity,0.0,agency,1,False,0,0
why capacity won't go away,3.0,constructive_pain,1,False,1,0
capacity that rest doesn't fix,0.0,agency,1,False,0,0
capacity self help book,0.0,agency,2,False,0,0
capacity for executives,0.0,agency,2,False,0,0
capacity for professionals South Africa,0.0,agency,1,True,0,0
capacity Sandton,0.0,agency,1,True,0,0
capacity Gauteng,0.0,agency,1,True,0,0
I can't capacity,0.0,agency,1,False,0,0
how to regain patience,0.0,agency,2,False,0,0
ways to regain patience,0.0,agency,1,False,0,0
how to lost patience,0.0,agency,1,False,0,0
ways to lost patience,0.0,neutral_info,0,False,0,0
how to with family patience,0.0,agency,1,False,0,0
ways to with family patience,0.0,neutral_info,0,False,0,0
how to after work patience,0.0,agency,1,False,0,0
ways to after work patience,0.0,neutral_info,0,False,0,0
why patience won't go away,3.0,distress,0,False,1,0
patience that rest doesn't fix,0.0,neutral_info,0,False,0,0
patience self help book,0.0,agency,1,False,0,0
patience for executives,0.0,agency,1,False,0,0
patience for professionals South Africa,0.0,neutral_info,0,True,0,0
patience Sandton,0.0,neutral_info,0,True,0,0
patience Gauteng,0.0,neutral_info,0,True,0,0
I can't patience,0.0,neutral_info,0,False,0,0
how to handle load shedding,1.5,constructive_pain,1,True,0,1
load shedding and burnout,3.0,distress,0,True,0,2
load shedding mental exhaustion,3.0,distress,0,True,0,2
load shedding can't switch off,1.5,distress,0,True,0,1
load shedding Johannesburg,1.5,distress,0,True,0,1
load shedding Cape Town,1.5,distress,0,True,0,1
recover from load shedding,1.5,constructive_pain,1,True,0,1
load shedding self help,1.5,constructive_pain,1,True,0,1
how to handle load shedding stress,3.0,constructive_pain,1,True,0,2
load shedding stress and burnout,4.5,distress,0,True,0,3
load shedding stress mental exhaustion,4.5,distress,0,True,0,3
load shedding stress can't switch off,3.0,distress,0,True,0,2
load shedding stress Johannesburg,3.0,distress,0,True,0,2
load shedding stress Cape Town,3.0,distress,0,True,0,2
recover from load shedding stress,3.0,constructive_pain,1,True,0,2
load shedding stress self help,3.0,constructive_pain,1,True,0,2
how to handle traffic and work stress,1.5,constructive_pain,1,False,0,1
traffic and work stress and burnout,3.0,distress,0,False,0,2
traffic and work stress mental exhaustion,3.0,distress,0,False,0,2
traffic and work stress can't switch off,1.5,distress,0,False,0,1
traffic and work stress Johannesburg,1.5,distress,0,True,0,1
traffic and work stress Cape Town,1.5,distress,0,True,0,1
recover from traffic and work stress,1.5,constructive_pain,1,False,0,1
traffic and work stress self help,1.5,constructive_pain,1,False,0,1
how to handle cost of living pressure,1.5,constructive_pain,1,False,0,1
cost of living pressure and burnout,3.0,distress,0,False,0,2
cost of living pressure mental exhaustion,3.0,distress,0,False,0,2
cost of living pressure can't switch off,1.5,distress,0,False,0,1
cost of living pressure Johannesburg,1.5,distress,0,True,0,1
cost of living pressure Cape Town,1.5,distress,0,True,0,1
recover from cost of living pressure,1.5,constructive_pain,1,False,0,1
cost of living pressure self help,1.5,constructive_pain,1,False,0,1
how to handle providing for family stress,1.5,constructive_pain,1,False,0,1
providing for family stress and burnout,3.0,distress,0,False,0,2
providing for family stress mental exhaustion,3.0,distress,0,False,0,2
providing for family stress can't switch off,1.5,distress,0,False,0,1
providing for family stress Johannesburg,1.5,distress,0,True,0,1
providing for family stress Cape Town,1.5,distress,0,True,0,1
recover from providing for family stress,1.5,constructive_pain,1,False,0,1
providing for family stress self help,1.5,constructive_pain,1,False,0,1
how to handle economic pressure,1.5,constructive_pain,1,False,0,1
economic pressure and burnout,3.0,distress,0,False,0,2
economic pressure mental exhaustion,3.0,distress,0,False,0,2
economic pressure can't switch off,1.5,distress,0,False,0,1
economic pressure Johannesburg,1.5,distress,0,True,0,1
economic pressure Cape Town,1.5,distress,0,True,0,1
recover from economic pressure,1.5,constructive_pain,1,False,0,1
economic pressure self help,1.5,constructive_pain,1,False,0,1
how to handle crime related stress,1.5,constructive_pain,1,False,0,1
crime related stress and burnout,3.0,distress,0,False,0,2
crime related stress mental exhaustion,3.0,distress,0,False,0,2
crime related stress can't switch off,1.5,distress,0,False,0,1
crime related stress Johannesburg,1.5,distress,0,True,0,1
crime related stress Cape Town,1.5,distress,0,True,0,1
recover from crime related stress,1.5,constructive_pain,1,False,0,1
crime related stress self help,1.5,constructive_pain,1,False,0,1
how to handle service delivery frustration,0.0,agency,1,False,0,0
service delivery frustration and burnout,1.5,distress,0,False,0,1
service delivery frustration mental exhaustion,1.5,distress,0,False,0,1
service delivery frustration can't switch off,0.0,neutral_info,0,False,0,0
service delivery frustration Johannesburg,0.0,neutral_info,0,True,0,0
service delivery frustration Cape Town,0.0,neutral_info,0,True,0,0
recover from service delivery frustration,0.0,agency,1,False,0,0
service delivery frustration self help,0.0,agency,1,False,0,0
how to handle job insecurity stress,1.5,constructive_pain,1,False,0,1
job insecurity stress and burnout,3.0,distress,0,False,0,2
job insecurity stress mental exhaustion,3.0,distress,0,False,0,2
job insecurity stress can't switch off,1.5,distress,0,False,0,1
job insecurity stress Johannesburg,1.5,distress,0,True,0,1
job insecurity stress Cape Town,1.5,distress,0,True,0,1
recover from job insecurity stress,1.5,constructive_pain,1,False,0,1
job insecurity stress self help,1.5,constructive_pain,1,False,0,1
how to handle retrenchment stress,1.5,constructive_pain,1,False,0,1
retrenchment stress and burnout,3.0,distress,0,False,0,2
retrenchment stress mental exhaustion,3.0,distress,0,False,0,2
retrenchment stress can't switch off,1.5,distress,0,False,0,1
retrenchment stress Johannesburg,1.5,distress,0,True,0,1
retrenchment stress Cape Town,1.5,distress,0,True,0,1
recover from retrenchment stress,1.5,constructive_pain,1,False,0,1
retrenchment stress self help,1.5,constructive_pain,1,False,0,1
how to handle middle class pressure South Africa,1.5,constructive_pain,1,True,0,1
middle class pressure South Africa and burnout,3.0,distress,0,True,0,2
middle class pressure South Africa mental exhaustion,3.0,distress,0,True,0,2
middle class pressure South Africa can't switch off,1.5,distress,0,True,0,1
middle class pressure South Africa Johannesburg,1.5,distress,0,True,0,1
middle class pressure South Africa Cape Town,1.5,distress,0,True,0,1
recover from middle class pressure South Africa,1.5,constructive_pain,1,True,0,1
middle class pressure South Africa self help,1.5,constructive_pain,1,True,0,1
I've achieved a lot in my career but I still feel empty and I don't know why,3.0,distress,0,False,1,0
I overreact to small things at home and then feel ashamed for hours,4.5,distress,0,False,1,1
Weekends and leave don't restore me anymore what should I look at,0.0,neutral_info,0,False,0,0
I can't quit my job because of money but I'm burning out badly,0.0,neutral_info,0,False,0,0
My mind replays conversations all night and I wake up exhausted,3.0,distress,0,False,1,0
I used to feel things deeply now I feel numb most of the time,3.0,distress,0,False,1,0
I snap at my kids after work and I hate that version of myself,3.0,distress,0,False,1,0
I'm the person everyone relies on and I have nothing left,3.0,distress,0,False,1,0
Success looks good from outside and hollow from inside,3.0,distress,0,False,1,0
I react before I can think and it damages relationships,0.0,neutral_info,0,False,0,0
I need a practical system to understand my stress reactions,1.5,constructive_pain,1,False,0,1
I'm able and still functioning but something is running me,0.0,agency,1,False,0,0
Load shedding traffic and deadlines never stop how do I stay clear,1.5,constructive_pain,1,True,0,1
I want capacity and composure back not only coping tips,0.0,agency,2,False,0,0
I keep sabotaging progress right when things improve,0.0,neutral_info,0,False,0,0
Old stress still shows up in new situations years later,1.5,distress,0,False,0,1
I provide for everyone and I'm running on empty,6.0,high_distress,0,False,2,0
I want tools for high performers not victim language,0.0,agency,2,False,0,0
How do I recover while still in a high pressure Joburg job,1.5,constructive_pain,1,True,0,1
What book explains why I react without choosing to,0.0,neutral_info,0,False,0,0
I feel trapped between burnout and financial responsibility in SA,4.5,distress,0,False,1,1
I fake fine at work and collapse emotionally at home,3.0,distress,0,False,1,0
I need to stop being controlled by automatic stress responses,1.5,constructive_pain,2,False,0,1
I'm searching for meaning after external success didn't deliver,0.0,neutral_info,0,False,0,0
How do able people rebuild capacity under ongoing SA pressure,1.5,constructive_pain,3,False,0,1
self help vs just pushing through stress,1.5,constructive_pain,1,False,0,1
practical self help for emotional reactions,0.0,agency,2,False,0,0
structured method for stress patterns,1.5,distress,0,False,0,1
book that explains emotional overreactions,1.5,distress,0,False,0,1
self improvement when rest isn't enough,0.0,neutral_info,0,False,0,0
tools for composure under pressure,1.5,constructive_pain,2,False,0,1
system for understanding automatic reactions,0.0,neutral_info,0,False,0,0
self help for high agency adults,0.0,agency,1,False,0,0
personal development beyond motivation quotes,0.0,neutral_info,0,False,0,0
depth self help for professionals,0.0,agency,1,False,0,0
executive burnout recovery Johannesburg,1.5,constructive_pain,2,True,0,1
Johannesburg executive burnout recovery,1.5,constructive_pain,2,True,0,1
Johannesburg stop overreacting,1.5,constructive_pain,1,True,0,1
Johannesburg emotional resilience,0.0,agency,1,True,0,0
Johannesburg self mastery,0.0,agency,1,True,0,0
work stress recovery Johannesburg,1.5,constructive_pain,1,True,0,1
Johannesburg work stress recovery,1.5,constructive_pain,1,True,0,1
Johannesburg mental exhaustion,1.5,distress,0,True,0,1
Johannesburg high performer stress,1.5,constructive_pain,1,True,0,1
regain composure Johannesburg,0.0,agency,2,True,0,0
Johannesburg regain composure,0.0,agency,2,True,0,0
Johannesburg successful but empty,3.0,distress,0,True,1,0
irritability after work Johannesburg,0.0,neutral_info,0,True,0,0
Johannesburg irritability after work,0.0,neutral_info,0,True,0,0
executive burnout recovery Joburg,1.5,constructive_pain,2,True,0,1
Joburg executive burnout recovery,1.5,constructive_pain,2,True,0,1
Joburg stop overreacting,1.5,constructive_pain,1,True,0,1
Joburg emotional resilience,0.0,agency,1,True,0,0
Joburg self mastery,0.0,agency,1,True,0,0
work stress recovery Joburg,1.5,constructive_pain,1,True,0,1
Joburg work stress recovery,1.5,constructive_pain,1,True,0,1
Joburg mental exhaustion,1.5,distress,0,True,0,1
Joburg high performer stress,1.5,constructive_pain,1,True,0,1
regain composure Joburg,0.0,agency,2,True,0,0
Joburg regain composure,0.0,agency,2,True,0,0
successful but empty Joburg,3.0,distress,0,True,1,0
Joburg successful but empty,3.0,distress,0,True,1,0
irritability after work Joburg,0.0,neutral_info,0,True,0,0
Joburg irritability after work,0.0,neutral_info,0,True,0,0
executive burnout recovery Sandton,1.5,constructive_pain,2,True,0,1
Sandton executive burnout recovery,1.5,constructive_pain,2,True,0,1
Sandton stop overreacting,1.5,constructive_pain,1,True,0,1
Sandton emotional resilience,0.0,agency,1,True,0,0
Sandton self mastery,0.0,agency,1,True,0,0
work stress recovery Sandton,1.5,constructive_pain,1,True,0,1
Sandton work stress recovery,1.5,constructive_pain,1,True,0,1
Sandton mental exhaustion,1.5,distress,0,True,0,1
Sandton high performer stress,1.5,constructive_pain,1,True,0,1
regain composure Sandton,0.0,agency,2,True,0,0
Sandton regain composure,0.0,agency,2,True,0,0
